year,month,Source,Target,Weight,Time Interval
2024,1,kamalaharris,atwar,1,2024-1
2024,1,kamalaharris,trumpwon,1,2024-1
2024,1,kamalaharris,americafirst,1,2024-1
2024,1,kamalaharris,veteran,1,2024-1
2024,1,kamalaharris,secondamendment,1,2024-1
2024,1,kamalaharris,maga,1,2024-1
2024,1,kamalaharris,senate,1,2024-1
2024,1,kamalaharris,truth,1,2024-1
2024,1,kamalaharris,blm,1,2024-1
2024,1,kamalaharris,blacklivesmatter,1,2024-1
2024,1,kamalaharris,republicanparty,1,2024-1
2024,1,kamalaharris,democraticparty,1,2024-1
2024,1,kamalaharris,patriot,1,2024-1
2024,1,kamalaharris,congress,1,2024-1
2024,1,kamalaharris,joebiden,1,2024-1
2024,1,kamalaharris,trump2024,1,2024-1
2024,1,kamalaharris,usa,1,2024-1
2024,1,kamalaharris,biden,1,2024-1
2024,1,kamalaharris,trump,1,2024-1
2024,1,atwar,trumpwon,1,2024-1
2024,1,atwar,americafirst,1,2024-1
2024,1,atwar,veteran,1,2024-1
2024,1,atwar,secondamendment,1,2024-1
2024,1,atwar,maga,1,2024-1
2024,1,atwar,senate,1,2024-1
2024,1,atwar,truth,1,2024-1
2024,1,atwar,blm,1,2024-1
2024,1,atwar,blacklivesmatter,1,2024-1
2024,1,atwar,republicanparty,1,2024-1
2024,1,atwar,democraticparty,1,2024-1
2024,1,atwar,patriot,1,2024-1
2024,1,atwar,congress,1,2024-1
2024,1,atwar,joebiden,1,2024-1
2024,1,atwar,trump2024,1,2024-1
2024,1,atwar,usa,1,2024-1
2024,1,atwar,biden,1,2024-1
2024,1,atwar,trump,1,2024-1
2024,1,trumpwon,americafirst,1,2024-1
2024,1,trumpwon,veteran,1,2024-1
2024,1,trumpwon,secondamendment,1,2024-1
2024,1,trumpwon,maga,1,2024-1
2024,1,trumpwon,senate,1,2024-1
2024,1,trumpwon,truth,1,2024-1
2024,1,trumpwon,blm,1,2024-1
2024,1,trumpwon,blacklivesmatter,1,2024-1
2024,1,trumpwon,republicanparty,1,2024-1
2024,1,trumpwon,democraticparty,1,2024-1
2024,1,trumpwon,patriot,1,2024-1
2024,1,trumpwon,congress,1,2024-1
2024,1,trumpwon,joebiden,1,2024-1
2024,1,trumpwon,trump2024,1,2024-1
2024,1,trumpwon,usa,1,2024-1
2024,1,trumpwon,biden,1,2024-1
2024,1,trumpwon,trump,1,2024-1
2024,1,americafirst,veteran,1,2024-1
2024,1,americafirst,secondamendment,1,2024-1
2024,1,americafirst,maga,1,2024-1
2024,1,americafirst,senate,1,2024-1
2024,1,americafirst,truth,1,2024-1
2024,1,americafirst,blm,1,2024-1
2024,1,americafirst,blacklivesmatter,1,2024-1
2024,1,americafirst,republicanparty,1,2024-1
2024,1,americafirst,democraticparty,1,2024-1
2024,1,americafirst,patriot,1,2024-1
2024,1,americafirst,congress,1,2024-1
2024,1,americafirst,joebiden,1,2024-1
2024,1,americafirst,trump2024,1,2024-1
2024,1,americafirst,usa,1,2024-1
2024,1,americafirst,biden,1,2024-1
2024,1,americafirst,trump,1,2024-1
2024,1,veteran,secondamendment,1,2024-1
2024,1,veteran,maga,1,2024-1
2024,1,veteran,senate,1,2024-1
2024,1,veteran,truth,1,2024-1
2024,1,veteran,blm,1,2024-1
2024,1,veteran,blacklivesmatter,1,2024-1
2024,1,veteran,republicanparty,1,2024-1
2024,1,veteran,democraticparty,1,2024-1
2024,1,veteran,patriot,1,2024-1
2024,1,veteran,congress,1,2024-1
2024,1,veteran,joebiden,1,2024-1
2024,1,veteran,trump2024,1,2024-1
2024,1,veteran,usa,1,2024-1
2024,1,veteran,biden,1,2024-1
2024,1,veteran,trump,1,2024-1
2024,1,secondamendment,maga,1,2024-1
2024,1,secondamendment,senate,1,2024-1
2024,1,secondamendment,truth,1,2024-1
2024,1,secondamendment,blm,1,2024-1
2024,1,secondamendment,blacklivesmatter,1,2024-1
2024,1,secondamendment,republicanparty,1,2024-1
2024,1,secondamendment,democraticparty,1,2024-1
2024,1,secondamendment,patriot,1,2024-1
2024,1,secondamendment,congress,1,2024-1
2024,1,secondamendment,joebiden,1,2024-1
2024,1,secondamendment,trump2024,1,2024-1
2024,1,secondamendment,usa,1,2024-1
2024,1,secondamendment,biden,1,2024-1
2024,1,secondamendment,trump,1,2024-1
2024,1,maga,senate,1,2024-1
2024,1,maga,truth,1,2024-1
2024,1,maga,blm,1,2024-1
2024,1,maga,blacklivesmatter,1,2024-1
2024,1,maga,republicanparty,1,2024-1
2024,1,maga,democraticparty,1,2024-1
2024,1,maga,patriot,1,2024-1
2024,1,maga,congress,1,2024-1
2024,1,maga,joebiden,1,2024-1
2024,1,maga,trump2024,1,2024-1
2024,1,maga,usa,1,2024-1
2024,1,maga,biden,1,2024-1
2024,1,maga,trump,1,2024-1
2024,1,senate,truth,1,2024-1
2024,1,senate,blm,1,2024-1
2024,1,senate,blacklivesmatter,1,2024-1
2024,1,senate,republicanparty,1,2024-1
2024,1,senate,democraticparty,1,2024-1
2024,1,senate,patriot,1,2024-1
2024,1,senate,congress,1,2024-1
2024,1,senate,joebiden,1,2024-1
2024,1,senate,trump2024,1,2024-1
2024,1,senate,usa,1,2024-1
2024,1,senate,biden,1,2024-1
2024,1,senate,trump,1,2024-1
2024,1,truth,blm,1,2024-1
2024,1,truth,blacklivesmatter,1,2024-1
2024,1,truth,republicanparty,1,2024-1
2024,1,truth,democraticparty,1,2024-1
2024,1,truth,patriot,1,2024-1
2024,1,truth,congress,1,2024-1
