Id,Label,Size,year,month,Time Interval
kamalaharris,kamalaharris,137509,2024,1,2024-1
atwar,atwar,2085,2024,1,2024-1
trumpwon,trumpwon,385778,2024,1,2024-1
americafirst,americafirst,380016,2024,1,2024-1
veteran,veteran,2424,2024,1,2024-1
secondamendment,secondamendment,2089,2024,1,2024-1
maga,maga,1022074,2024,1,2024-1
senate,senate,1990,2024,1,2024-1
truth,truth,893952,2024,1,2024-1
blm,blm,2029,2024,1,2024-1
blacklivesmatter,blacklivesmatter,1992,2024,1,2024-1
republicanparty,republicanparty,2116,2024,1,2024-1
democraticparty,democraticparty,2151,2024,1,2024-1
patriot,patriot,15701,2024,1,2024-1
congress,congress,2122,2024,1,2024-1
joebiden,joebiden,2283,2024,1,2024-1
trump2024,trump2024,837929,2024,1,2024-1
usa,usa,462895,2024,1,2024-1
biden,biden,427317,2024,1,2024-1
trump,trump,736565,2024,1,2024-1
trumpwon,trumpwon,385778,2024,2,2024-2
americafirst,americafirst,380016,2024,2,2024-2
saveamerica,saveamerica,65481,2024,2,2024-2
israel,israel,2390,2024,2,2024-2
maga,maga,1022074,2024,2,2024-2
russia,russia,360913,2024,2,2024-2
truth,truth,893952,2024,2,2024-2
nikkihaley,nikkihaley,6251,2024,2,2024-2
truthsocial,truthsocial,9946,2024,2,2024-2
ukraine,ukraine,230489,2024,2,2024-2
fjb,fjb,379229,2024,2,2024-2
wethepeople,wethepeople,5843,2024,2,2024-2
patriot,patriot,15701,2024,2,2024-2
obama,obama,2365,2024,2,2024-2
trump2024,trump2024,837929,2024,2,2024-2
border,border,5890,2024,2,2024-2
usa,usa,462895,2024,2,2024-2
biden,biden,427317,2024,2,2024-2
democrat,democrat,160964,2024,2,2024-2
trump,trump,736565,2024,2,2024-2
deepstate,deepstate,12779,2024,3,2024-3
trumpwon,trumpwon,385778,2024,3,2024-3
americafirst,americafirst,380016,2024,3,2024-3
biden,biden,427317,2024,3,2024-3
saveamerica,saveamerica,65481,2024,3,2024-3
maga,maga,1022074,2024,3,2024-3
truth,truth,893952,2024,3,2024-3
nikkihaley,nikkihaley,6251,2024,3,2024-3
truthsocial,truthsocial,9946,2024,3,2024-3
fjb,fjb,379229,2024,3,2024-3
bidencrimefamily,bidencrimefamily,3748,2024,3,2024-3
j6,j6,3169,2024,3,2024-3
patriot,patriot,15701,2024,3,2024-3
trump2024,trump2024,837929,2024,3,2024-3
northcarolina,northcarolina,3847,2024,3,2024-3
usa,usa,462895,2024,3,2024-3
supertuesday,supertuesday,3066,2024,3,2024-3
faniwillis,faniwillis,3275,2024,3,2024-3
democrat,democrat,160964,2024,3,2024-3
trump,trump,736565,2024,3,2024-3
hispanic,hispanic,3944,2024,4,2024-4
trumpwon,trumpwon,385778,2024,4,2024-4
michigan,michigan,3257,2024,4,2024-4
americafirst,americafirst,380016,2024,4,2024-4
saveamerica,saveamerica,65481,2024,4,2024-4
texas,texas,3585,2024,4,2024-4
maga,maga,1022074,2024,4,2024-4
truth,truth,893952,2024,4,2024-4
wwg1wga,wwg1wga,11225,2024,4,2024-4
truthsocial,truthsocial,9946,2024,4,2024-4
fjb,fjb,379229,2024,4,2024-4
wethepeople,wethepeople,5843,2024,4,2024-4
patriot,patriot,15701,2024,4,2024-4
